"Fact","Fact Note","New Hanover County, North Carolina","Value Note for New Hanover County, North Carolina","Nash County, North Carolina","Value Note for Nash County, North Carolina","Columbus County, North Carolina","Value Note for Columbus County, North Carolina","Carteret County, North Carolina","Value Note for Carteret County, North Carolina","Brunswick County, North Carolina","Value Note for Brunswick County, North Carolina","Beaufort County, North Carolina","Value Note for Beaufort County, North Carolina"
"Population estimates, July 1, 2018,  (V2018)","","232,274","","94,016","","55,655","","69,524","","136,744","","47,079",""
"Population estimates base, April 1, 2010,  (V2018)","","202,683","","95,829","","58,110","","66,463","","107,429","","47,768",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","14.6%","","-1.9%","","-4.2%","","4.6%","","27.3%","","-1.4%",""
"Population, Census, April 1, 2010","","202,667","","95,840","","58,098","","66,469","","107,431","","47,759",""
"Persons under 5 years, percent","","4.9%","","5.5%","","5.2%","","4.1%","","3.9%","","4.8%",""
"Persons under 18 years, percent","","18.4%","","21.9%","","20.9%","","17.6%","","15.3%","","20.1%",""
"Persons 65 years and over, percent","","17.7%","","18.5%","","20.1%","","25.0%","","31.5%","","24.0%",""
"Female persons, percent","","52.3%","","52.1%","","50.5%","","51.0%","","52.2%","","52.2%",""
"White alone, percent","","81.9%","","54.9%","","63.2%","","90.0%","","86.3%","","71.7%",""
"Black or African American alone, percent","(a)","13.7%","","41.0%","","30.5%","","5.8%","","10.3%","","25.1%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%","","1.0%","","3.7%","","0.6%","","0.8%","","1.1%",""
"Asian alone, percent","(a)","1.6%","","1.0%","","0.6%","","1.3%","","0.8%","","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","0.1%","","0.2%","","0.1%","","0.1%",""
"Two or More Races, percent","","2.1%","","1.9%","","1.9%","","2.2%","","1.7%","","1.5%",""
"Hispanic or Latino, percent","(b)","5.6%","","7.1%","","5.5%","","4.3%","","4.9%","","8.0%",""
