"Fact","Fact Note","Craven County, North Carolina","Value Note for Craven County, North Carolina","Chowan County, North Carolina","Value Note for Chowan County, North Carolina","Camden County, North Carolina","Value Note for Camden County, North Carolina","Bertie County, North Carolina","Value Note for Bertie County, North Carolina","Pender County, North Carolina","Value Note for Pender County, North Carolina","Onslow County, North Carolina","Value Note for Onslow County, North Carolina"
"Population estimates, July 1, 2018,  (V2018)","","102,912","","14,029","","10,710","","19,026","","62,162","","197,683",""
"Population estimates base, April 1, 2010,  (V2018)","","103,503","","14,793","","9,980","","21,275","","52,198","","177,799",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","-0.6%","","-5.2%","","7.3%","","-10.6%","","19.1%","","11.2%",""
"Population, Census, April 1, 2010","","103,505","","14,793","","9,980","","21,282","","52,217","","177,772",""
"Persons under 5 years, percent","","6.3%","","4.7%","","5.3%","","4.3%","","5.7%","","8.8%",""
"Persons under 18 years, percent","","21.6%","","20.2%","","22.8%","","17.6%","","22.2%","","24.5%",""
"Persons 65 years and over, percent","","19.0%","","24.6%","","16.3%","","23.0%","","18.0%","","9.2%",""
"Female persons, percent","","49.4%","","52.4%","","50.2%","","49.5%","","50.1%","","44.8%",""
"White alone, percent","","71.7%","","62.6%","","82.5%","","36.1%","","81.2%","","76.2%",""
"Black or African American alone, percent","(a)","21.5%","","34.5%","","12.0%","","61.2%","","15.1%","","15.9%",""
"American Indian and Alaska Native alone, percent","(a)","0.7%","","0.4%","","0.6%","","0.7%","","0.9%","","0.9%",""
"Asian alone, percent","(a)","3.1%","","0.8%","","2.2%","","0.8%","","0.7%","","2.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%","","0.2%","","0.1%","","0.1%","","0.1%","","0.3%",""
"Two or More Races, percent","","2.9%","","1.4%","","2.7%","","1.2%","","2.1%","","4.5%",""
"Hispanic or Latino, percent","(b)","7.4%","","3.7%","","3.0%","","2.2%","","7.4%","","12.8%",""
"White alone, not Hispanic or Latino, percent","","65.7%","","59.9%","","80.3%","","34.7%","","75.2%","","65.9%",""
"Veterans, 2013-2017","","11,930","","1,337","","1,212","","1,196","","4,663","","23,695",""
"Foreign born persons, percent, 2013-2017","","4.8%","","3.0%","","3.2%","","1.2%","","4.2%","","4.0%",""
"Housing units,  July 1, 2018,  (V2018)","","47,450","","7,306","","4,303","","9,870","","29,625","","80,259",""
"Owner-occupied housing unit rate, 2013-2017","","63.3%","","73.0%","","80.1%","","73.6%","","79.1%","","52.5%",""
"Median value of owner-occupied housing units, 2013-2017","","$156,500","","$128,300","","$222,500","","$78,900","","$167,200","","$154,400",""
"Median selected monthly owner costs -with a mortgage, 2013-2017","","$1,262","","$1,189","","$1,701","","$1,045","","$1,316","","$1,256",""
"Median selected monthly owner costs -without a mortgage, 2013-2017","","$417","","$451","","$392","","$373","","$381","","$379",""
"Median gross rent, 2013-2017","","$871","","$737","","$1,122","","$644","","$828","","$987",""
"Building permits, 2018","","330","","20","","81","","11","","532","","1,036",""
"Households, 2013-2017","","40,571","","5,903","","3,796","","7,988","","21,053","","63,093",""
"Persons per household, 2013-2017","","2.42","","2.39","","2.71","","2.32","","2.68","","2.73",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2013-2017","","79.5%","","91.2%","","90.6%","","89.0%","","86.8%","","71.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2013-2017","","8.4%","","2.5%","","5.2%","","3.9%","","7.3%","","10.1%",""
"Households with a computer, percent, 2013-2017","","87.8%","","77.9%","","87.5%","","66.7%","","85.8%","","91.7%",""
"Households with a broadband Internet subscription, percent, 2013-2017","","78.4%","","63.8%","","79.6%","","52.0%","","70.9%","","83.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2013-2017","","87.7%","","83.9%","","85.3%","","76.1%","","86.8%","","91.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2013-2017","","24.3%","","19.0%","","18.1%","","12.3%","","25.6%","","20.2%",""
"With a disability, under age 65 years, percent, 2013-2017","","12.9%","","9.7%","","9.1%","","13.9%","","12.3%","","13.5%",""
"Persons  without health insurance, under age 65 years, percent","","11.6%","","11.9%","","11.9%","","13.2%","","13.7%","","8.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2013-2017","","53.1%","","52.8%","","61.0%","","50.2%","","58.3%","","46.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2013-2017","","52.9%","","46.0%","","54.1%","","48.6%","","54.6%","","54.6%",""
