"Fact","Fact Note","Jones County, North Carolina","Value Note for Jones County, North Carolina","Hyde County, North Carolina","Value Note for Hyde County, North Carolina","Hertford County, North Carolina","Value Note for Hertford County, North Carolina","Gates County, North Carolina","Value Note for Gates County, North Carolina","Dare County, North Carolina","Value Note for Dare County, North Carolina","Currituck County, North Carolina","Value Note for Currituck County, North Carolina"
"Population estimates, July 1, 2018,  (V2018)","","9,637","","5,230","","23,659","","11,573","","36,501","","27,072",""
"Population estimates base, April 1, 2010,  (V2018)","","10,167","","5,817","","24,677","","12,184","","33,920","","23,547",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","-5.2%","","-10.1%","","-4.1%","","-5.0%","","7.6%","","15.0%",""
"Population, Census, April 1, 2010","","10,153","","5,810","","24,669","","12,197","","33,920","","23,547",""
"Persons under 5 years, percent","","4.9%","","3.9%","","4.6%","","4.6%","","4.5%","","5.7%",""
"Persons under 18 years, percent","","18.5%","","16.8%","","18.9%","","20.3%","","18.9%","","22.4%",""
"Persons 65 years and over, percent","","22.6%","","20.7%","","19.8%","","20.2%","","21.4%","","16.2%",""
"Female persons, percent","","51.0%","","45.3%","","50.9%","","50.5%","","50.7%","","50.5%",""
"White alone, percent","","66.4%","","67.6%","","35.6%","","65.5%","","94.0%","","90.6%",""
"Black or African American alone, percent","(a)","30.1%","","29.0%","","61.0%","","31.2%","","2.7%","","5.8%",""
"American Indian and Alaska Native alone, percent","(a)","1.0%","","0.8%","","1.3%","","0.6%","","0.6%","","0.7%",""
"Asian alone, percent","(a)","0.5%","","0.8%","","0.8%","","0.4%","","0.8%","","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z","","Z","","0.1%","","0.1%","","0.1%","","0.1%",""
"Two or More Races, percent","","1.9%","","1.7%","","1.3%","","2.2%","","1.9%","","2.1%",""
"Hispanic or Latino, percent","(b)","5.1%","","9.2%","","3.8%","","2.3%","","7.3%","","4.0%",""
"White alone, not Hispanic or Latino, percent","","62.1%","","59.9%","","33.0%","","63.8%","","87.5%","","87.3%",""
"Veterans, 2013-2017","","818","","178","","1,196","","745","","2,966","","2,903",""
"Foreign born persons, percent, 2013-2017","","2.9%","","4.5%","","3.5%","","1.1%","","5.1%","","2.6%",""
"Housing units,  July 1, 2018,  (V2018)","","5,002","","3,408","","10,657","","5,443","","35,012","","16,051",""
"Owner-occupied housing unit rate, 2013-2017","","72.5%","","76.3%","","67.2%","","80.4%","","69.4%","","82.5%",""
"Median value of owner-occupied housing units, 2013-2017","","$92,700","","$81,000","","$86,800","","$142,500","","$285,000","","$244,500",""
"Median selected monthly owner costs -with a mortgage, 2013-2017","","$1,067","","$1,062","","$984","","$1,303","","$1,692","","$1,569",""
"Median selected monthly owner costs -without a mortgage, 2013-2017","","$342","","$401","","$406","","$422","","$518","","$439",""
"Median gross rent, 2013-2017","","$621","","$839","","$709","","$798","","$1,056","","$947",""
"Building permits, 2018","","22","","11","","X","","46","","337","","425",""
"Households, 2013-2017","","4,148","","1,835","","8,880","","4,439","","15,264","","9,766",""
"Persons per household, 2013-2017","","2.33","","2.63","","2.41","","2.60","","2.31","","2.57",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2013-2017","","90.8%","","89.3%","","85.0%","","93.9%","","85.3%","","88.6%",""
