"Fact","Fact Note","Washington County, North Carolina","Value Note for Washington County, North Carolina","Tyrrell County, North Carolina","Value Note for Tyrrell County, North Carolina"
"Population estimates, July 1, 2018,  (V2018)","","11,859","","4,131",""
"Population estimates base, April 1, 2010,  (V2018)","","13,209","","4,407",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","-10.2%","","-6.3%",""
"Population, Census, April 1, 2010","","13,228","","4,407",""
"Persons under 5 years, percent","","5.2%","","5.4%",""
"Persons under 18 years, percent","","20.0%","","18.6%",""
"Persons 65 years and over, percent","","24.4%","","19.3%",""
"Female persons, percent","","52.5%","","44.5%",""
"White alone, percent","","48.0%","","56.7%",""
"Black or African American alone, percent","(a)","48.8%","","38.1%",""
"American Indian and Alaska Native alone, percent","(a)","1.0%","","1.0%",""
"Asian alone, percent","(a)","0.4%","","2.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z","","Z",""
"Two or More Races, percent","","1.8%","","2.0%",""
"Hispanic or Latino, percent","(b)","5.8%","","9.0%",""
"White alone, not Hispanic or Latino, percent","","44.3%","","49.5%",""
"Veterans, 2013-2017","","779","","307",""
"Foreign born persons, percent, 2013-2017","","2.4%","","4.6%",""
"Housing units,  July 1, 2018,  (V2018)","","6,458","","2,092",""
"Owner-occupied housing unit rate, 2013-2017","","60.6%","","75.6%",""
"Median value of owner-occupied housing units, 2013-2017","","$86,000","","$113,100",""
"Median selected monthly owner costs -with a mortgage, 2013-2017","","$1,064","","$1,035",""
"Median selected monthly owner costs -without a mortgage, 2013-2017","","$411","","$359",""
"Median gross rent, 2013-2017","","$619","","$756",""
"Building permits, 2018","","5","","3",""
"Households, 2013-2017","","5,223","","1,539",""
"Persons per household, 2013-2017","","2.33","","2.26",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2013-2017","","92.7%","","84.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2013-2017","","3.4%","","8.7%",""
"Households with a computer, percent, 2013-2017","","69.3%","","67.8%",""
"Households with a broadband Internet subscription, percent, 2013-2017","","56.1%","","55.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2013-2017","","77.4%","","74.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2013-2017","","9.1%","","7.6%",""
"With a disability, under age 65 years, percent, 2013-2017","","16.4%","","14.7%",""
"Persons  without health insurance, under age 65 years, percent","","13.1%","","17.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2013-2017","","50.1%","","47.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2013-2017","","44.2%","","56.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","D","","D",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","34,741","","D",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","394,643","","9,593",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","174,124","","D",""
"Total retail sales, 2012 ($1,000)","(c)","127,671","","35,975",""
"Total retail sales per capita, 2012","(c)","$10,024","","$8,293",""
"Mean travel time to work (minutes), workers age 16 years+, 2013-2017","","25.1","","29.5",""
"Median household income (in 2017 dollars), 2013-2017","","$34,557","","$32,411",""
"Per capita income in past 12 months (in 2017 dollars), 2013-2017","","$21,117","","$17,736",""
"Persons in poverty, percent","","24.8%","","24.4%",""
"Total employer establishments, 2016","","228","","77",""
"Total employment, 2016","","2,931","","462",""
"Total annual payroll, 2016 ($1,000)","","110,355","","13,803",""
"Total employment, percent change, 2015-2016","","-2.4%","","11.6%",""
"Total nonemployer establishments, 2017","","589","","289",""
"All firms, 2012","","865","","397",""
"Men-owned firms, 2012","","395","","233",""
"Women-owned firms, 2012","","370","","96",""
"Minority-owned firms, 2012","","199","","48",""
"Nonminority-owned firms, 2012","","597","","333",""
"Veteran-owned firms, 2012","","221","","45",""
"Nonveteran-owned firms, 2012","","573","","334",""
"Population per square mile, 2010","","38.0","","11.3",""
"Land area in square miles, 2010","","348.14","","389.04",""
"FIPS Code","","""37187""","","""37177""",""
"","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","",""
"","","","","",""
"Value Notes","","","","",""
"None","","","","",""
"","","","","",""
"Fact Notes","","","","",""
"(a)","Includes persons reporting only one race","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","",""
"","","","","",""
"Value Flags","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","",""
"F","Fewer than 25 firms","","","",""
"FN","Footnote on this item in place of data","","","",""
"NA","Not available","","","",""
"S","Suppressed; does not meet publication standards","","","",""
"X","Not applicable","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","",""
