"","mon","yr","AWND","SNOW","SNWD","TAVG","TMAX","TMIN","WSF2","WSF5","CO","SO","NO","PM25"
"1",1,2014,6.01806451612903,1.9,2.4,36.4516129032258,48.1290322580645,25.2258064516129,16.8645161290323,23.9322580645161,0.496296296296296,2.31379310344828,24.4258064516129,12.3034482758621
"2",2,2014,5.96035714285714,3.7,2.4,42.8571428571429,53.4642857142857,33.3928571428571,15.9964285714286,22.5035714285714,0.435714285714286,2.01785714285714,20.9571428571429,12.8392857142857
"3",3,2014,7.15096774193548,0.2,0,45.9354838709677,57.9032258064516,34.0322580645161,18.4096774193548,25.4838709677419,0.362962962962963,1.33870967741935,20.7,11.7548387096774
"4",4,2014,7.44066666666667,0,0,60.6333333333333,72.3333333333333,48.0333333333333,18.5266666666667,25.25,0.336666666666667,0.766666666666667,14.3033333333333,10.6466666666667
"5",5,2014,5.70806451612903,0,0,69.8387096774194,81.3870967741936,58.258064516129,15.7451612903226,22.0709677419355,0.323333333333333,0.464516129032258,13.7645161290323,13.5241379310345
"6",6,2014,4.952,0,0,76.5666666666667,88.8333333333333,65.7666666666667,15.4733333333333,21.67,0.266666666666667,0.356666666666667,9.21428571428571,10.1833333333333
"7",7,2014,5.56354838709677,0,0,77.6774193548387,88.0967741935484,68.6774193548387,14.458064516129,20.0838709677419,0.258064516129032,0.338709677419355,7.6,11.0064516129032
"8",8,2014,4.10612903225806,0,0,75,84.6451612903226,67.0967741935484,13.8548387096774,19.2733333333333,0.32962962962963,0.596774193548387,8.88928571428571,11.0354838709677
"9",9,2014,5.00966666666667,0,0,71.4,79.9333333333333,64.4,13.7866666666667,19.6103448275862,0.273333333333333,0.4,8.28620689655172,7.4
"10",10,2014,5.12290322580645,0,0,62.6774193548387,74.9677419354839,51,14.2483870967742,20.3967741935484,0.396666666666667,1.11071428571429,16.91,9.03548387096774
"11",11,2014,5.33933333333333,0,0,46.7666666666667,58.1333333333333,35.8,15.36,21.98,0.5,1.73666666666667,19.49,12.3033333333333
"12",12,2014,4.43096774193548,0,0,44.7096774193548,53.8387096774194,35.6129032258064,13.0838709677419,18.6032258064516,0.52258064516129,1.23548387096774,17.7483870967742,11.6703703703704
"13",1,2015,4.89967741935484,0,0,39.6451612903226,49.5483870967742,30.0322580645161,14.0483870967742,20.5645161290323,0.428571428571429,1.56451612903226,18.9321428571429,10.8107142857143
"14",2,2015,6.59821428571429,7.9,10.6,34.8928571428571,44.9642857142857,24.6071428571429,17.35,24.2964285714286,0.403703703703704,2.00357142857143,19.9321428571429,13.0652173913043
