"","x"
"1",12.3034482758621
"2",12.8392857142857
"3",11.7548387096774
"4",10.6466666666667
"5",13.5241379310345
"6",10.1833333333333
"7",11.0064516129032
"8",11.0354838709677
"9",7.4
"10",9.03548387096774
"11",12.3033333333333
"12",11.6703703703704
"13",10.8107142857143
"14",13.0652173913043
"15",10.1806451612903
"16",9.05714285714286
"17",8.26774193548387
"18",10.7
"19",13.385
"20",11.7148148148148
"21",9.94333333333333
"22",10.651724137931
"23",11.3071428571429
"24",11.3518518518519
"25",11.1
"26",10.9413793103448
"27",10.0181818181818
"28",6.01333333333333
"29",6.49354838709677
"30",7.30666666666667
"31",10.4935483870968
"32",8.75294117647059
"33",8.20344827586207
"34",10.2709677419355
"35",16.0766666666667
"36",13.258064516129
"37",5.94545454545455
"38",8.63333333333333
"39",5.5
"40",7.27
"41",7.31818181818182
"42",7.6
"43",8.2
"44",8.92727272727273
"45",8.39
"46",7.13636363636364
"47",9.7
"48",9.18
"49",9.24838709677419
"50",8.45
"51",8.56129032258064
"52",8.87333333333333
"53",8.50967741935484
"54",9.98666666666667
